##Wavelenght  50999.559
lambda	Flux
0.1nm	---
---------	---------
7511.8028	 0.075955
7511.8512	 0.081204
7511.8996	 0.082210
7511.9480	 0.079434
7511.9964	 0.076431
7512.0448	 0.083946
7512.0932	 0.077014
7512.1415	 0.078387
7512.1899	 0.071930
7512.2383	 0.067430
7512.2867	 0.066425
7512.3351	 0.068630
7512.3835	 0.063423
7512.4319	 0.059682
7512.4803	 0.059502
7512.5286	 0.053654
7512.5770	 0.048938
7512.6254	 0.049408
7512.6738	 0.038708
7512.7222	 0.031998
7512.7706	 0.029846
7512.8190	 0.026317
7512.8674	 0.021655
7512.9157	 0.025048
7512.9641	 0.022061
7513.0125	 0.025168
7513.0609	 0.027163
7513.1093	 0.027992
7513.1577	 0.026276
